OCLC,Title,Author,Language,Item_type,Publication,Publisher,Database,Notes,Date_Added
"633791877","Iosephi Scaligeri Ivli Caesaris F. Opvs De Emendatione Temporvm. : Addita Vetervm Graecorvm Fragmenta selecta, Quibus loci aliquot obscurissimi Chronologiae sacrae, & Bibliorum illustrantur. Cum Notis eiusdem Scaligeri.","Joseph Juste Scaliger","Latin","book_printbook","","Genevae : Roverius, 1629.","","","2017-05-13 20:20"
"257016292","Lexicon Pentaglotton, Hebraicum, Chaldaicum, Syriacum, Talmudico-Rabbinicum, & Arabicum : In Quo Omnes Voces Hebraeae, Chaldaeae, Syrae, Rabbinicae & Arabicae, adiectis hincinde Persicis, Aethiopicis & Turcicis, ordine Alphabetico, sub suis singulae Radicibus digest[a]e continentur ... ; Cum triplici Indice ...","Valentin Schindler; , Braunschweig-Wolfenbüttel  Herzog; Konrad von Borstel; Levin von Borstel; Johannes Caselius; Engelbert Engels; Gualtherus Keuchenius; Thomas von Knesebeck; Julius von Marenholtz; Johann Ruland","Latin","book_printbook","","Frankfurt, Main Hanau Hanoviae Henneus Hanoviae ; [Frankfurt, Main] Rulandii 1612","","","2017-05-13 20:18"
"265026935","Wilhelmi Schickardi horologium Ebræum : sive consilium quomodo sancta lingua spatio XXIV. horarum ab aliquot collegis sufficienter apprehendi queat.","Wilhelm Schickard","Latin","book_printbook","","Londini : Typis S. Palmer : Impensis J. Walthoe, J. Knapton, R. Knaplock, J. & B. Sprint, G. Conyers [and seven others in London], 1722.","","","2017-05-13 20:17"
"57129049","A.M. à Schurman Eukleria seu Melioris partis electio. Tractatus brevem vitae ejus delineationem exhibens.","Anna Maria van Schurman","Latin","book_printbook","","Altonae ad Albim : Ex officina Cornelii van der Meulen, Anno 1673.","","","2017-05-13 20:16"
"68928374","Joannis Seldeni De jure naturali et gentium, juxta disciplinam Ebræorum, libri septem.","John Selden","Latin","book_printbook","","Argentorati : Sumptibus Joh. Andr. Endteri, & Wolfgangi ..., 1665.","","","2017-05-13 20:14"
"77080048","The historie of tithes : that is, the practice of payment of them, the positive laws made for them, the opinions touching the right of them : a review of it is also annext, which both confirmes it and directs in the use of it","John Selden","English","book_printbook","","[London] : [publisher not identified], 1618.","","","2017-05-13 19:56"
"728288706","Joannis Seldeni jurisconsulti opera omnia, tam edita quam inedita. : In tribus voluminibus. Collegit ac recensuit ; vitam auctoris, praefationes, & indices adjecit, David Wilkins, S.T.P. Archidiaconus Suffolciensis, Canonicus Cantauriensis, Reverendissimo in Christo Patri ac Domino Domino Guilielmo, Divina Providentia Archiepiscopo Cantuariensi, &c. a Sacris Domesticis.","John Selden","Latin","book_digital","","Londini : Typis Guil. Bowyer, impensis J. Walthoe, G. Conyers, J. Knapton, R. Knaplock, J. & B. Sprint, D. Midwinter, A. Bettesworth, B. Lintot, J. Tonson, R. Gosling, W. & J. Innys, J. Osborn & T. Longman, R. Robinson, T. Woodward, F. Clay, B. Motte, A. Ward, T. Wotton, & executorum Richardi Sare, M DCC XXVI. [1726]","","","2017-05-13 19:55"
"18319350","Zohar hadash ... de-Hamisha Humshe Torah, de-Hamesh megilot, ve-Tikunim ve-likute ha-Zohar ... me-sefer ha-Zohar yashan ve-hadash ve-tikunim ve-Midrash neʻelam,","","Hebrew","book_printbook","","Amsterdam, Moses ben Abraham Mendes Countinho [1701]","","","2017-05-13 19:53"
"433842133","Dissertationes de praestantia et usu Numismatum antiquorum","Ezechiel Spanheim","Latin","book_printbook","","Amstelodami Apud Danielem Elsevirium [1671]","","","2017-05-13 19:47"
"220690590","De legibus Hebræorum ritualibus et earum rationibus, libri quatuor ... Auctore Joanne Spencero ... Editos, MSS. cum testimoniis auctorum laudatis recensuit, & indices adjecit, Leonardus Chappelow.","John Spencer; Leonard Chappelow","Latin","book_printbook","","Cantabrigiæ : Typis Academicis. Prostant apud C. Crownfield, E. Jeffery, & W. Thurlbourn, bibliopolas Cantabrigienses : R. Knaplock, & W. & J. Innys, bibliopolas Londinenses, 1727.","","","2017-05-13 19:44"
"926974265","Tractatus theologico-politicus : cui adjunctus est Philosophia S. Scripturae interpres. Ab authore longe emendatior.","Benedictus de Spinoza; Lodewijk Meijer; Edward Ledwich; John Kearny; James Morris","Latin","book_printbook","","[Amsterdam?] : [publisher not identified], 1674.","","","2017-05-13 19:43"
"18141925","De numismatis & nummis antiquis dissertatio.","Joseph Marie Suarès","Latin","book_printbook","","Amstelaedami, Henr. Wetstenium, 1683.","","","2017-05-13 19:40"
"878413854","Jacobi Usserii Armachani Annales Veteris et Novi Testamenti : a prima mundi origine deducti usque ad extremum templi et reipublicæ judaicæ excidium. Cum duobus indicibus quorum primus est historicus, secundus vero geographicus qui nunc primùm prodit in lucem.","James Ussher; Augustin Lubin; Thomas Barlow","Latin","book_mic","","Lutetiæ Parisiorum, : Sumptibus Lud. Billaine, & Joannis du Puis ..., M. DC. LXXIII. [1673]","","","2017-05-13 11:57"
"169940728","Kāfiyah","ʻUthmān ibn ʻUmar Ibn al-Ḥājib; Tipografia medicea orientale,","Arabic","book_mic","","[Rome] : [Tipografia medicea orientale], [1592]","","","2017-05-13 11:55"
"489029459","Numismata imperatorum romanorum praestantiora a Julio Caesare ad postumum et tyrannos.","Jean Foy Vaillant","French","book_printbook","","Paris, 1696.","","","2017-05-13 11:51"
"191497441","‏ספר הגלגולים /‏ Sefer ha-gilgulim","‏ויטאל, חיים בן יוסף, ‏, ‏1542 או 3־1620. Ḥayyim ben Joseph Vital; Meir ben Chayyim Eisenstadt; David ben Nathan Gruenhut","Hebrew","book_printbook","","‏[חמו״ל, ‏ Franḳfurṭ : [Ḥ. mo. l.], 444 [1683]","","","2017-05-13 11:48"
"85480027","Introductio ad lectionem linguarum orientalium: Hebraicæ, Chaldaicæ, Samaritanæ, Syriacæ, Arabicæ, Persicæ, Aethiopicæ, Armenæ, Coptæ. Consilium de earum studio fœliciter instituendo, & de libris quos in hunc finem sibi comparare debent studiosi. In usum tyronum qui linguas istas addiscere desiderant, præcipue eorum qui sumptus ad Biblia Polyglotta (jam sub prelo) imprimenda contulerunt. Præmittitur præfatio, in qua de hisce linguis, & de textuum, & versionum, quæ in dictis Bibliis habentur antiquitate, authoritate & usu, breviter disseritur, quidq; in hac editione præ reliquis expectandum sit.","Brian Walton","Latin","book_printbook","","Londini, Imprimebat Tho. Roycroft, 1655.","","","2017-05-13 11:47"
"79180697","The transit of the total shadow of the moon over Europe in the eclipse of the sun May 11th. 1724. in the evening","William Whiston; John Senex","English","book_printbook","","London : NB. There is herewith published by the author a treatise of the calculation of solar eclipses without parallaxes ; With a specimen of the same in this eclipse both printed for I Senex at the Globe against St. Dunstans church in Fleetstreet, [1724]","","","2017-05-13 11:45"
"803377187","Praelectiones physico-mathematicae Cantabrigiae in scholis publicis habitae, quibus philosophia ... Newtoni ... explicatius traditur, & facilius demonstratur ; Cometographia etiam Halleiana commentariolo illustratur","William Whiston; Benjamin Tooke; Typographia Academica (Cambridge)","Latin","book_printbook","","Cantabrigiae [Cambridge] : Typis Academicis ; Londini : Impensis Benj. Tooke ..., 1710.","","","2017-05-13 11:44"
"433912373","Praelectiones Astronomicae Cantabrigiae in scholis habitae : accedunt tabulae astronomicae Flamstedianae, Halleianae, Cassinianae et Streetianae.","William Whiston","Latin","book_printbook","","Cantabrigiae Typis Academicis 1707.","","","2017-05-13 11:42"
"314732221","Mr. Whiston's account of the exact time when miraculous gifts ceas'd in the Church. Taken out of his Authentick records ... with observations upon Dr. Middleton's Free inquiry into that matter.","William Whiston","English","book_printbook","","London : Printed for the author, and are to be sold by Mr. Noon ... Mr. Whiston ... and Mr. Bishop ..., 1749.","","","2017-05-13 11:40"
"12444533","A new theory of the earth, from its original to the consummation of all things : wherein the creation of the world in six days, the universal deluge, and the general conflagration, as laid down in the Holy Scriptures, are shewn to be perfectly agreeable to reason and philosophy : with a large introductory discourse concerning the genuine nature, stile, and extent of the Mosaick history of the creation","William Whiston","English","book_mic","","London : Printed by R. Roberts for Benj. Tooke ..., 1696.","","","2017-05-13 11:40"
"23637376","Memoirs of the life and writings of Mr. William Whiston ...","William Whiston","English","book_printbook","","London, 1749-50.","","","2017-05-13 11:39"
"783158922","Elementa matheseos universæ","Christian Wolff","Latin","book_printbook","","Halae Magdenbvrgicae : prostat in officina libraria Rengeriana, 1717, 1715.","","","2017-05-13 11:32"
"609744437","Elementa matheseos universae","Christian von Wolff","Latin","book_printbook","","Genevae, 1732-1741.","","","2017-05-13 11:21"
"723449095","The religion of nature delineated","William Wollaston","English","book_digital","","Dublin : Printed by and for George Grierson, in Essex-Street, and for George Ewing, in Dames-Street, M, DCC, XXVI. [1726]","","","2017-05-13 11:18"
"715610278","Ebauche de la religion naturelle","William Wollaston","French","book_printbook","","La Haye, 1726.","","","2017-05-13 11:17"
"587098526","Reflections upon ancient and modern learning ...","William Wotton","English","book_digital","","London, Printed by J. Leake for Peter Buck, 1694.","","","2017-05-13 11:16"
"940080888","Biblia Sacra Polyglotta : complectentia textus originales, hebraicum, cum pentateucho samaritano, chaldaicum, graecum ; versionumque antiquarum, samaritanae, graecae LXXII interp., chaldaicae, syriacae, arabicae, Æthiopicae, persicae, vulg. lat. quicquid comparari poterat. Cum textuum, & versionum orientalium translationibus Latini. Vetustissimis mss. undique conquisitis ... Cum apparatu, appendicibus, tabulis, variis lectionibus, annotationibus, indicibus, &c. Opus totum in sex tomos tributum","Brian Walton; Thomas Roycroft; S Pagnino; Henry Trotter;","Multiple languages","book_printbook","","Londini : Imprimebat Thomas Roycroft, 1657.","","","2017-05-13 11:06"
"3565595","De republica Ebraeorum : recensitus, commentarioque illustratus opera","Bonaventure Corneille Bertram; Constantijn L'Empereur","Latin","book_printbook","","Lugduni Batavorum : Ex officina Ioan. Maire, 1651.","","","2017-05-13 11:03"
"65321020","Tables of ancient coins, weights and measures explain'd and exemplify'd in several dissertations.","John Arbuthnot","English","book_digital","","London : Printed for J, Tonson ..., 1727.","","","2017-05-13 10:54"
